MovieId|Title|ReleasedYear|Western|Crime|Mystery|Romance|Children's|Horror|Drama|Fantasy|Sci-Fi|Film-Noir|Thriller|Adventure|War|Musical|Action|Comedy|Documentary|Animation|Synopsis|SentimentScore
28|Persuasion |1995|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|Living with her snobby family on the brink of bankruptcy, Anne Elliot is an unconforming woman with modern sensibilities. When Frederick Wentworth - the dashing one she once sent away - crashes back into her life, Anne must choose between putting the past behind her or listening to her heart when it comes to second chances.|-0.4881739616394043
29|City of Lost Children, The |1995|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|0|0|0|A scientist in a surrealist society kidnaps children to steal their dreams, hoping that they slow his aging process.|-0.9151678085327148
31|Dangerous Minds |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Former Marine Louanne Johnson lands a gig teaching in a pilot program for bright but underachieving teens at a notorious inner-city high school. After having a terrible first day, she decides she must throw decorum to the wind. When Johnson returns to the classroom, she does so armed with a no-nonsense attitude informed by her military training and a fearless determination to better the lives of her students -- no matter what the cost.|0.5738878846168518
32|Twelve Monkeys |1995|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|0|In the year 2035, convict James Cole reluctantly volunteers to be sent back in time to discover the origin of a deadly virus that wiped out nearly all of the earth's population and forced the survivors into underground communities. But when Cole is mistakenly sent to 1990 instead of 1996, he's arrested and locked up in a mental hospital. There he meets psychiatrist Dr. Kathryn Railly, and patient Jeffrey Goines, the son of a famous virus expert, who may hold the key to the mysterious rogue group, the Army of the 12 Monkeys, thought to be responsible for unleashing the killer disease.|-0.5911942720413208
33|Wings of Courage |1995|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|0|0|0|In 1930 South America, a small group of French pilots struggle to prove they can offer a reliable airmail service over the Andes. When one of the young pilots crashes on such a flight, he has to try and get back to civilization on foot. Back home, his wife and colleagues start to fear the worst.|-0.9527631998062134
34|Babe |1995|0|0|0|0|1|0|1|0|0|0|0|0|0|0|0|1|0|0|Three girlfriends, neglected and mistreated by their husbands, plan to take revenge on them with the help of an experienced man in this type of job.|-0.9540522694587708
35|Carrington |1995|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Painter Dora Carrington develops an intimate but extremely complex bond with writer Lytton Strachey. Though Lytton is a homosexual, he is enchanted by the mysterious Dora and they begin a lifelong friendship that has strangely romantic undertones. Eventually, Lytton and Dora decide to live together, despite the fact that the latter has fallen in love with military man Ralph Partridge, whom she plans to marry.|0.7156352996826172
36|Dead Man Walking |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|A death row inmate turns for spiritual guidance to a local nun in the days leading up to his scheduled execution for the murders of a young couple.|-0.5286031365394592
37|Across the Sea of Time |1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|A young Russian boy, Thomas Minton, travels to New York as a passenger on a Russian freighter. Close to Ellis Island he gets off and thus starts his journey to America the same way as all immigrants in former times. Thomas is searching for the family of one of his ancestors, who had emigrated decades ago, but once sent a letter home together with a sample of his new profession: 3D-Photography.|0.0
38|It Takes Two |1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Identical 9-year-olds from very different backgrounds: orphaned Amanda and wealthy Alyssa meet at summer camp and decide to switch places -- and play matchmaker between Alyssa's dad, Roger, and the kind social worker who cares for Amanda.|0.41429615020751953
39|Clueless |1995|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Shallow, rich and socially successful Cher is at the top of her Beverly Hills high school's pecking scale. Seeing herself as a matchmaker, Cher first coaxes two teachers into dating each other. Emboldened by her success, she decides to give hopelessly klutzy new student Tai a makeover. When Tai becomes more popular than she is, Cher realizes that her disapproving ex-stepbrother was right about how misguided she was -- and falls for him.|-0.49720707535743713
40|Cry, the Beloved Country |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|A South-African preacher goes to search for his wayward son who has committed a crime in the big city.|-0.6824211478233337
41|Richard III |1995|0|0|0|0|0|0|1|0|0|0|0|0|1|0|0|0|0|0|A murderous lust for the British throne sees Richard III descend into madness. Though the setting is transposed to the 1930s, England is torn by civil war, split between the rivaling houses of York and Lancaster. Richard aspires to a fascist dictatorship, but must first remove the obstacles to his ascension—among them his brother, his nephews and his brother's wife. When the Duke of Buckingham deserts him, Richard's plans are compromised.|-0.8063941597938538
42|Dead Presidents |1995|0|1|0|0|0|0|1|0|0|0|0|0|0|0|1|0|0|0|On the streets they call cash dead presidents. And that's just what a Vietnam veteran is after when he returns home from the war only to find himself drawn into a life of crime. With the aid of his fellow vets he plans the ultimate heist -- a daring robbery of an armored car filled with unmarked U.S. currency!|-0.8664271235466003
43|Restoration |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|An aspiring young physician, Robert Merivel found himself in the service of King Charles II and saves the life of someone close to the King. Merivel joins the King's court and lives the high life provided to someone of his position. Merivel is ordered to marry his King's mistress in order to divert the queens suspicions. He is given one order by the king and that is not to fall in love. The situation worsens when Merivel finds himself in love with his new wife. Eventually, the King finds out and relieves Merivel of his position and wealth. His fall from grace leaves Merivel where he first started. And through his travels and reunions with an old friend, he rediscovers his love for true medicine and what it really means to be a physician.|-0.8481791019439697
44|Mortal Kombat |1995|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|Washed-up MMA fighter Cole Young, unaware of his heritage, and hunted by Emperor Shang Tsung's best warrior, Sub-Zero, seeks out and trains with Earth's greatest champions as he prepares to stand against the enemies of Outworld in a high stakes battle for the universe.|-0.5099506974220276
45|To Die For |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|Civil war reigns in one of the most dangerous areas of the world for 7 years. The Turkish army enters the region without any allied states. Among the officials in the region, there are also the Special Forces team under the command of Captain Alparslan. Together with Captain Pilot Onur, Tim brings out a big trap against the Turkish army. In order to break the trap, the main test for the team that fights the lives of terrorists against the terrorists in the difficult conditions is to be able to survive without losing their conscience.|-0.7673378586769104
46|How to Make an American Quilt |1995|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Soon-to-be-wed graduate student Finn Dodd develops cold feet when she suspects her fiancé is cheating on her. In order to clear her head, Finn visits her grandmother, Hy, and great aunt, Glady Joe Cleary, in Grasse, Calif. There, Finn learns that Hy and Glady Joe are members of a group of passionate quilters, and over the course of her visit she is regaled with tales of love and life by women who have collected rich experiences and much wisdom.|0.4551555812358856
47|Seven (Se7en) |1995|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|A recent parolee gets a Mexican witch to resurrect his old posse so that they can help him save a woman's ranch from a ruthless drug lord.|0.509468674659729
48|Pocahontas |1995|0|0|0|1|1|0|0|0|0|0|0|0|0|1|0|0|0|1|Pocahontas, daughter of a Native American tribe chief, falls in love with an English soldier as colonists invade 17th century Virginia.|0.4900166392326355
49|When Night Is Falling |1995|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Camille is a professor at a Protestant college who is engaged to Martin, a respected minister and fellow professor. When Camille meets Petra, a bold and flamboyant performer in a circus troupe, she is inexplicably drawn. Pursuing Petra, Camille throws her whole conservative life into disarray.|-0.6073476672172546
50|Usual Suspects, The |1995|0|1|0|0|0|0|0|0|0|0|1|0|0|0|0|0|0|0|Held in an L.A. interrogation room, Verbal Kint attempts to convince the feds that a mythic crime lord, Keyser Soze, not only exists, but was also responsible for drawing him and his four partners into a multi-million dollar heist that ended with an explosion in San Pedro harbor – leaving few survivors. Verbal lures his interrogators with an incredible story of the crime lord's almost supernatural prowess.|0.4907074570655823
51|Guardian Angel |1994|0|0|0|0|0|0|1|0|0|0|1|0|0|0|1|0|0|0|Film biography dwelling on the hectic artistic life of António Variações, a famous Portuguese pop rock singer from the 80s, who died from AIDS-related complications in 1984.|-0.6713093519210815
52|Mighty Aphrodite |1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|When Lenny and his wife, Amanda, adopt a baby, Lenny realizes that his son is a genius and becomes obsessed with finding the boy's biological mother in hopes that she will be brilliant too. But when he learns that Max's mother is Linda Ash, a kindhearted prostitute and porn star, Lenny is determined to reform her immoral lifestyle. A Greek chorus chimes in to relate the plot to Greek mythology in this quirky comedy.|0.6210924983024597
53|Lamerica |1994|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Fiore, an Italian conman, arrives in post Communist Albania with Gino, his young apprentice, to set up a shoe factory that will never open. The con requires a native Albanian, so they designate Spiro, an impoverished and confused former political prisoner as chairman of the board. When Fiore returns to Italy to get government funds for the project, Spiro unexpectedly disappears and Gino sets out on a journey to find him. The search leads him to discover Spiro's tragic personal history and witness Albanian poverty firsthand.|-0.7916844487190247
54|Big Green, The |1995|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|In a depressed Texas town, British foreign exchange teacher Anna attempts to inject some life into her hopeless kids by introducing them to soccer. They're terrible at first, but Anna and her football-hero assistant whip them into shape. As they work overtime, the pair help kids build their self-esteem and also get involved in solving family squabbles.|0.9463642835617065
55|Georgia |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Rebellious, uncontrollable teenager, Rachel is hauled off by her dysfunctional mother to spend the summer with her estranged grandmother, Georgia. Her journey will lead all three women to revelations of buried family secrets and an understanding that - regardless what happens - the ties that bind can never be broken.|0.5383468270301819
56|Kids of the Round Table |1995|0|0|0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|Set in modern times, Alex finds King Arthur's sword Excalibur and must prove himself worthy of it.|-0.4587896466255188
57|Home for the Holidays |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|After losing her job, making out with her soon-to-be former boss, and finding out that her daughter plans to spend Thanksgiving with her boyfriend, Claudia Larson faces spending the holiday with her unhinged family.|-0.9622641801834106
58|Postino, Il (The Postman) |1994|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Simple Italian postman learns to love poetry while delivering mail to a famous poet; he uses this to woo local beauty Beatrice.|0.5625309944152832
59|Confessional, The (Le Confessionnal) |1995|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Pierre Lamontagne has returned to Quebec to attend his father's funeral. He meets up with his adopted brother, Marc, who has begun questioning his identity and has embarked on a quest for his roots that would lead them to the Quebec of the 1950s. Past and present converge in a complex web of intrigue where the answer to the mystery lies.|0.4089381992816925
60|Indian in the Cupboard, The |1995|0|0|0|0|1|0|0|1|0|0|0|1|0|0|0|0|0|0|A nine-year-old boy gets a plastic Indian and a cupboard for his birthday and finds himself involved in adventure when the Indian comes to life and befriends him.|0.8081251978874207
61|Eye for an Eye |1996|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|Mario, an exemplary man, lives in a village on the Galician coast. In the old people’s home, where he works as a nurse, everyone appreciates him. When the best known narco in the area, Antonio Padín, recently released from prison, enters the residence, Mario tries to make Antonio feel at home.  Now, Padín's two sons, Kike and Toño, are in charge of the family business. The failure of an operation will put Kike in jail and cause them to owe a large debt to a Colombian supplier. Toño will turn to the nurse to try to convince his father to assume the debt. But Mario has his own plans.|0.8803762793540955
62|Mr. Holland's Opus |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|In 1965, passionate musician Glenn Holland takes a day job as a high school music teacher, convinced it's just a small obstacle on the road to his true calling: writing a historic opus. As the decades roll by with the composition unwritten but generations of students inspired through his teaching, Holland must redefine his life's purpose.|0.5202394723892212
63|Don't Be a Menace to South Central While Drinking Your Juice in the Hood |1996|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|When Ashtray moves to South Central L.A. to live with his father (who appears to be the same age he is) and grandmother (who likes to talk tough and smoke reefer), he falls in with his gang-banging cousin Loc Dog, who along with the requisite pistols and Uzi carries a thermo-nuclear warhead for self-defense. Will Ashtray be able to keep living the straight life?|-0.8481892347335815
64|Two if by Sea |1996|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Frank O'Brien, a petty thief, and his 7-year-long girlfriend Roz want to put an end to their unsteady lifestyle and just do that last job, which involves stealing a valuable painting. Frank takes Roz to an island on the coast of New England, where he wants to sell the painting and also hopes that their sagging relationship will get a positive push back up. Not everything goes as planned.|-0.694728434085846
65|Bio-Dome |1996|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|"Bud and Doyle are two losers who are doing nothing with their lives. Both of their girlfriends are actively involved in saving the environment, but the two friends couldn't care less about saving the Earth. One day, when a group of scientists begin a mission to live inside a ""Bio-Dome"" for a year without outside contact, Bud and Doyle mistakenly become part of the project themselves."|-0.9582442045211792
66|Lawnmower Man 2: Beyond Cyberspace |1996|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|Jobe is resuscitated by Jonathan Walker. He wants Jobe to create a special computer chip that would connect all the computers in the world into one network, which Walker would control and use. But what Walker doesn't realize is a group of teenage hackers are on to him and out to stop his plan.|0.6151832938194275
67|Two Bits |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|It's a hot summer day in 1933 in South Philly, where 12-year old Gennaro lives with his widowed mom and his ailing grandpa, who sits outside holding tight to his last quarter, which he's promised to Gennaro and which Gennaro would like to have to buy a ticket to the plush new movie theater. But grandpa's not ready to pass on the quarter or pass on to his final reward: he has some unfinished business with a woman from his past, and he enlists Gennaro to act as his emissary.|-0.5180274844169617
68|French Twist (Gazon maudit) |1995|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|1|0|0|After learning of her husband's infidelities, a housewife invites an itinerant lesbian to move in with them. None of their lives will ever be the same again.|-0.9088662266731262
69|Friday |1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|Mother and daughter bicker over everything -- what Anna wears, whom she likes and what she wants to do when she's older. In turn, Anna detests Tess's fiancé. When a magical fortune cookie switches their personalities, they each get a peek at how the other person feels, thinks and lives.|-0.8634936809539795
70|From Dusk Till Dawn |1996|0|1|0|0|0|1|0|0|0|0|1|0|0|0|1|1|0|0|After kidnapping a father and his two kids, the Gecko brothers head south to a seedy Mexican bar to hide out in safety, unaware of its notorious vampire clientele.|-0.8325760364532471
71|Fair Game |1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|Max Kirkpatrick is a cop who protects Kate McQuean, a civil law attorney, from a renegade KGB team out to terminate her|0.5285876989364624
72|Kicking and Screaming |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|After college graduation, Grover's girlfriend Jane tells him she's moving to Prague to study writing. Grover declines to accompany her, deciding instead to move in with several friends, all of whom can't quite work up the inertia to escape their university's pull. Nobody wants to make any big decisions that would radically alter his life, yet none of them wants to end up like Chet, the professional student who tends bar and is in his tenth year of university studies.|-0.7258491516113281
74|Bed of Roses |1996|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|In this whimsical fable, Resnais deftly interweaves three story lines: the creation of an early-20th-century utopia; romantic high jinks at a school conference; and a fantasy sparked by F/X pioneer Georges Méliès.|0.8544419407844543
75|Big Bully |1996|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|A writer returns to his hometown where he faces the childhood nemesis whose life he ultimately ruined, only the bully wants to relive their painful past by torturing him once again.|-0.9381096363067627
76|Screamers |1995|0|0|0|0|0|0|0|0|1|0|1|0|0|0|0|0|0|0|SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms.|-0.4835594594478607
77|Nico Icon |1995|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|A look into the many lives of Christa Päffgen, otherwise known as Nico; from cutie German mädchen to the first of the supermodels, to glamorous diva of the Velvet Underground, to cult item, junkie and hag. Many faces for the same woman, whom, you realize, just couldn't bring herself to care enough to live.|-0.8507630825042725
78|Crossing Guard, The |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Unable to move on from the loss of his daughter, Freddy, now a shell of the person he was before, swears to kill the man responsible for her death.|-0.94188392162323
79|Juror, The |1996|0|0|0|0|0|0|1|0|0|0|1|0|0|0|0|0|0|0|"With his gangster boss on trial for murder, a mob thug known as ""the Teacher"" tells Annie Laird she must talk her fellow jurors into a not-guilty verdict, implying that he'll kill her son Oliver if she fails. She manages to do this, but, when it becomes clear that the mobsters might want to silence her for good, she sends Oliver abroad and tries to gather evidence of the plot against her, setting up a final showdown."|-0.8714989423751831
80|White Balloon, The (Badkonake Sefid ) |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Several people try to take advantage of a little girl's innocence to hustle money her mom gave to her to buy a goldfish with.|-0.9491313099861145
81|Things to Do in Denver when You're Dead |1995|0|1|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|Five different criminals face imminent death after botching a job quite badly.|-0.9835104942321777
82|Antonia's Line (Antonia) |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|After World War II, Antonia and her daughter, Danielle, go back to their Dutch hometown, where Antonia's late mother has bestowed a small farm upon her. There, Antonia settles down and joins a tightly-knit but unusual community. Those around her include quirky friend Crooked Finger, would-be suitor Bas and, eventually for Antonia, a granddaughter and great-granddaughter who help create a strong family of empowered women.|0.7167545557022095
83|Once Upon a Time... When We Were Colored |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|This film relates the story of a tightly connected Afro-American community informally called Colored Town where the inhabitants live and depend on each other in a world where racist oppression is everywhere, as told by a boy called Cliff who spent his childhood there. Despite this, we see the life of the community in all its joys and sorrows, of those that live there while others decide to leave for a better life north. For those remaining, things come to a serious situation when one prominent businessman is being muscled out by a white competitor using racist intimidation. In response, the community must make the decision of whether to submit meekly like they always have, or finally fight for their rights.|-0.6201084852218628
84|Last Summer in the Hamptons |1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|1|0|0|Helena Mora, the head of an eccentric theatrical family, has decided to sell her large estate in the Hamptons because of her recent money troubles. Before she completes the sale, she wants to have one last gathering of family and friends, with dramatic performances. Bringing everyone together, though, creates rivalries and tension, especially for Oona, a temperamental but successful movie actress who seeks the approval of her creative peers.|-0.6881962418556213
85|Angels and Insects |1995|0|0|0|1|0|0|1|0|0|0|0|0|0|0|0|0|0|0|In Victorian England, wealthy patriarch Sir Harald Alabaster invites an impoverished biologist, William Adamson, into his home. There, William tries to continue his work, but is distracted by Alabaster's seductive daughter, Eugenia. William and Eugenia begin a torrid romance, but as the couple become closer, the young scientist begins to realize that dark, disturbing things are happening behind the closed doors of the Alabaster manor.|-0.694204568862915
86|White Squall |1996|0|0|0|0|0|0|1|0|0|0|0|1|0|0|0|0|0|0|In 1960, a hardy group of prep school students boards an old-fashioned sailing ship. With Capt. Christopher Sheldon at the helm, the oceangoing voyage is intended to teach the boys fortitude and discipline. But the youthful crew are about to get some unexpected instruction in survival when they get caught in the clutches of a white squall storm.|0.4373116195201874
87|Dunston Checks In |1996|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|1|0|0|Hotel manager Robert Grant is forced by his boss to postpone his family vacation when a hotel critic checks in. Trouble is, the critic is really a villainous jewel thief with an orangutan assistant named Dunston. When Dunston gets loose and tries to escape a life of crime -- aided by Robert's sons -- havoc, hijinks and lots of laughs abound!|0.44581174850463867
