MovieId|Title|ReleasedYear|War|Film-Noir|Thriller|Western|Crime|Action|Drama|Musical|Fantasy|Documentary|Sci-Fi|Animation|Mystery|Comedy|Children's|Adventure|Romance|Horror|Synopsis|Actors|Directors
11|American President, The|1995|0|0|0|0|0|0|1|0|0|0|0|0|0|1|0|0|1|0|Widowed U.S. president Andrew Shepherd, one of the world's most powerful men, can have anything he wants -- and what he covets most is Sydney Ellen Wade, a Washington lobbyist. But Shepherd's attempts at courting her spark wild rumors and decimate his approval ratings.|['Michael Douglas', 'Annette Bening', 'Martin Sheen', 'Michael J. Fox', 'Anna Deavere Smith', 'Samantha Mathis', 'Shawna Waldron', 'David Paymer', 'Anne Haney', 'Richard Dreyfuss', 'Nina Siemaszko', 'Wendie Malick', 'Beau Billingslea', 'Gail Strickland', 'Joshua Malina', 'Clement von Franckenstein', 'Efrat Lavie', 'John Mahoney', 'Taylor Nichols', 'John Mahon', 'Tom Dahlgren', 'Ralph Meyering Jr.', 'Kurt A. Boesen', 'Joseph Latimore', 'Darryl Alan Reed', 'Andrew Steel', 'Jordan Lund', 'Richard McGonagle', 'Frank Cavestani', 'Richard Stahl', 'Alice Kushida', 'Renee Faia', 'Beans Morocco', 'Kathryn Ish', 'Kamilah Martin', 'Augie Blunt', 'Thom Barry', 'Steven Gonzalez', 'Gabriel Jarret', 'Karen Maruyama', 'Nancy Kandal', 'George Murdock', 'Bernie McInerney', 'Jack Gilroy', 'Matthew Saks', 'Googy Gress', 'Ron Canada', 'Brian Pietro', 'Rick Garcia', 'Aaron Sorkin', 'Kymberly Newberry', 'Greg Poland', 'Leslie Bega', 'Jennifer Crystal Foley', 'Arthur Senzy', 'Nick Toth', 'Jorge Noa', 'Maud Winchester', 'Jeffrey Anderson', 'Suzanne Michaels', 'Mark Thompson', 'David Drew Gallagher', 'Todd Odom', 'Michael G. Alexander', 'Anthony Backman', 'Rose Barrett', 'Faith Burton', 'Jan Citron', 'Arthur Eckdahl', 'Roger Ferreira', 'Star Halm', 'Betty Hankins', 'Suzanne Lodge', 'Gorja Max', 'Mark Norris', 'Sherry O’Keefe', 'Roger Steffens', 'Helen Thomas', 'Ray Uhler', 'Michael Wajacs', 'Mark Watson']|['Rob Reiner']
12|Dracula: Dead and Loving It|1995|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|1|When a lawyer shows up at the vampire's doorstep, he falls prey to his charms and joins him in his search for fresh blood. Enter Professor Van Helsing, who may be the only one able to vanquish the Count.|['Leslie Nielsen', 'Mel Brooks', 'Amy Yasbeck', 'Peter MacNicol', 'Lysette Anthony', 'Harvey Korman', 'Steven Weber', 'Mark Blankfield', 'Megan Cavanagh', 'Gregg Binkley', 'Anne Bancroft', 'Clive Revill', 'Chuck McCann', 'Avery Schreiber', 'Cherie Franklin', 'Ezio Greggio', 'Leslie Sachs', 'Rudy De Luca', 'Darla Haun', 'Karen Roe', 'Charlie Callas', 'Maud Winchester', 'Kathleen Kane', 'Tony Griffin', 'Cindy Marshall-Day']|['Mel Brooks']
13|Balto|1995|0|0|0|0|0|0|0|0|0|0|0|1|0|0|1|0|0|0|An outcast half-wolf risks his life to prevent a deadly epidemic from ravaging Nome, Alaska.|['Kevin Bacon', 'Bob Hoskins', 'Bridget Fonda', 'Jim Cummings', 'Phil Collins', 'Juliette Brewer', 'Jack Angel', 'Danny Mann', 'Robbie Rist', 'Sandra Dickinson', 'Frank Welker', 'Miriam Margolyes', 'Lola Bates-Campbell', 'Donald Sinden', 'Garrick Hagon', 'William Roberts']|['Simon Wells']
14|Nixon|1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|A look at President Richard M. Nixon—a man carrying the fate of the world on his shoulders while battling the self-destructive demands from within—spanning his troubled boyhood in California to the shocking Watergate scandal that would end his Presidency.|"['Anthony Hopkins', 'Joan Allen', 'Powers Boothe', 'Ed Harris', 'Bob Hoskins', 'E.G. Marshall', 'David Paymer', 'David Hyde Pierce', 'Paul Sorvino', 'Mary Steenburgen', 'J.T. Walsh', 'James Woods', 'Brian Bedford', 'Kevin Dunn', 'Fyvush Finkel', 'Annabeth Gish', 'Tom Bower', 'Tony Goldwyn', 'Larry Hagman', 'Edward Herrmann', 'Madeline Kahn', 'Dan Hedaya', 'Tony Lo Bianco', 'Saul Rubinek', 'Robert Beltran', 'John Cunningham', 'John Diehl', 'John C. McGinley', 'Michael Chiklis', 'David Barry Gray', 'Joanna Going', 'George Plimpton', 'Lenny Vullo', 'Corey Carrier', 'Ronald von Klaussen', 'John Bedford Lloyd', 'Kamar de los Reyes', 'Enrique Castillo', 'James Pickens Jr.', 'Victor Rivers', 'Bridgette Wilson-Sampras', 'Drew Snyder', 'Ric Young', 'Sean Stone', 'Joshua Duvall Preston', 'Ian Calip', 'Jack Wallace', 'Julie Condra', 'Annette Helde', 'Howard Platt', 'T.J. Kennedy', 'Harry S. Murphy', 'Suzanne Schnulle Murphy', 'Michael Kaufman', 'Pamela Dickerson', ""O'Neal Compton"", 'Chris Renna', 'Wilson Cruz', 'Mikey Stone', 'Robert Marshall', 'Marley Shelton', 'James Karen', 'Richard Fancy', 'Peter Carlin', 'Michelle Krusiec', 'Wass Stevens', 'Tom Nicoletti', 'Chuck Pfeiffer', 'Alexander Butterfield', 'Mark Steines', 'Bai Ling', 'Peter P. Starson Jr.', 'Jon Tenney', 'Julie Araskog', 'Ray Wills', 'John Bellucci', 'Zoey Zimmerman', 'Mary Rudolph', 'Clayton Townsend', 'Donna Dixon', 'John Stockwell', 'Charles Haugk', 'Boris Sichkin', 'Fima Noveck', 'Raissa Danilova', 'Marilyn Rockafellow', 'Bill Bolender', 'Melinda Renna', 'Tony Plana', 'Sam Waterston', 'Chuck Riley']"|['Oliver Stone']
15|Cutthroat Island|1995|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|1|0|Morgan Adams and her slave, William Shaw, are on a quest to recover the three portions of a treasure map. Unfortunately, the final portion is held by her murderous uncle, Dawg. Her crew is skeptical of her leadership abilities, so she must complete her quest before they mutiny against her. This is made yet more difficult by the efforts of the British crown to end her pirate raids.|['Geena Davis', 'Matthew Modine', 'Frank Langella', 'Maury Chaykin', 'Patrick Malahide', 'Stan Shaw', 'Rex Linn', 'Paul Dillon', 'Christopher Masterson', 'Jimmie F. Skaggs', 'Harris Yulin', 'Carl Chase', 'Peter Geeves', 'Angus Wright', 'Ken Bones', 'Mary Pegler', 'Mary Peach', 'Lucinda Aurel', 'Thomas Lockyer', 'Roger Booth', 'George Murcell', 'Simon Atherton', 'Dickey Beer', 'Christopher Halliday', 'Chris Johnston', 'Richard Leaf', 'Tam White', 'Rupert Vansittart', 'Nick Bartlett', 'David Bailie', 'Kwame Kwei-Armah', 'Ramon Tikaram', 'Christopher Adamson', 'Finster', 'Thor']|['Renny Harlin']
16|Casino|1995|0|0|1|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|"In early-1970s Las Vegas, Sam ""Ace"" Rothstein gets tapped by his bosses to head the Tangiers Casino. At first, he's a great success in the job, but over the years, problems with his loose-cannon enforcer Nicky Santoro, his ex-hustler wife Ginger, her con-artist ex Lester Diamond and a handful of corrupt politicians put Sam in ever-increasing danger."|['Robert De Niro', 'Sharon Stone', 'Joe Pesci', 'James Woods', 'Don Rickles', 'Alan King', 'Kevin Pollak', 'L.Q. Jones', 'Dick Smothers', 'Frank Vincent', 'John Bloom', 'Pasquale Cajano', 'Melissa Prophet', 'Bill Allison', 'Vinny Vella', 'Oscar Goodman', 'Catherine Scorsese', 'Philip Suriano', 'Erika von Tagen', 'Frankie Avalon', 'Steve Allen', 'Jayne Meadows', 'Jerry Vale', 'Joseph Rigano', 'Gene Ruffini', 'Dominick Grieco', 'Peter Conti', 'Cathy Scorsese', 'Steve Vignari', 'Paul Herman', 'Joey DePinto', 'Millicent Sheridan', 'Nobu Matsuhisa', 'Frankie J. Allison', 'Anthony Russell', 'John Manca', 'Ronald Maccone', 'Joseph P. Reidy', 'Joe La Due', 'Stuart Nisbet', 'Frank Adonis', 'Joseph Bono', 'Craig Vincent', 'Daniel P. Conte', 'David Rose', 'C.C. Carr', 'Clem Caserta', 'Jed Mills', 'Richard Riehle', 'Alfred Nittoli', 'Carl Ciarfalio', 'Jack Orend', 'Ffolliott Le Coque', 'Claudia Haro', 'Madeline Parquette', 'Nick Mazzola', 'Steve Schirripa']|['Martin Scorsese']
17|Sense and Sensibility|1995|0|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|1|0|The Dashwood sisters, sensible Elinor and passionate Marianne, whose chances at marriage seem doomed by their family's sudden loss of fortune.  When Henry Dashwood dies unexpectedly, his estate must pass on by law to his son from his first marriage, John and wife Fanny. But these circumstances leave Mr. Dashwood's current wife, and daughters Elinor, Marianne and Margaret, without a home and with barely enough money to live on. As Elinor and Marianne struggle to find romantic fulfillment in a society obsessed with financial and social status, they must learn to mix sense with sensibility in their dealings with both money and men.|['Emma Thompson', 'Kate Winslet', 'Alan Rickman', 'Hugh Grant', 'Gemma Jones', 'Greg Wise', 'Elizabeth Spriggs', 'Imogen Stubbs', 'Harriet Walter', 'James Fleet', 'Imelda Staunton', 'Hugh Laurie', 'Emilie François', 'Robert Hardy', 'Richard Lumsden', 'Tom Wilkinson', 'Ian Brimble', 'Isabelle Amyes', 'Alexander John', 'Allan Mitchell', 'Josephine Gradwell', 'Lone Madsen', 'Oliver Ford Davies', 'Eleanor McCready', 'Lindsay Doran']|['Ang Lee']
18|Four Rooms|1995|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|It's Ted the Bellhop's first night on the job...and the hotel's very unusual guests are about to place him in some outrageous predicaments. It seems that this evening's room service is serving up one unbelievable happening after another.|['Tim Roth', 'Jennifer Beals', 'Antonio Banderas', 'Valeria Golino', 'David Proval', 'Sammi Davis', 'Amanda de Cadenet', 'Madonna', 'Ione Skye', 'Lili Taylor', 'Alicia Witt', 'Tamlyn Tomita', 'Lana McKissack', 'Danny Verduzco', 'Patricia Vonne', 'Salma Hayek Pinault', 'Quentin Tarantino', 'Paul Calderon', 'Marisa Tomei', 'Kathy Griffin', 'Lawrence Bender', 'Kimberly Blair', 'Quinn Hellerman', 'Marc Lawrence', 'Paul Skemp', 'Unruly Julie McClean', 'Laura Rush', 'Bruce Willis']|['Allison Anders', 'Alexandre Rockwell', 'Robert Rodriguez', 'Quentin Tarantino']
19|Ace Ventura: When Nature Calls|1995|0|0|0|0|0|0|0|0|0|0|0|0|0|1|0|0|0|0|Summoned from an ashram in Tibet, Ace finds himself on a perilous journey into the jungles of Africa to find Shikaka, the missing sacred animal of the friendly Wachati tribe. He must accomplish this before the wedding of the Wachati's Princess to the prince of the warrior Wachootoos. If Ace fails, the result will be a vicious tribal war.|"['Jim Carrey', 'Ian McNeice', 'Simon Callow', 'Maynard Eziashi', 'Bob Gunton', 'Sophie Okonedo', 'Tommy Davidson', 'Adewale Akinnuoye-Agbaje', 'Danny Daniels', 'Sam Phillips', 'Damon Standifer', 'Andrew Steel', 'Bruce Spence', 'Tom Grunke', 'Arsenio ""Sonny"" Trinidad', 'Kristin Norton', 'Michael Reid MacKay', 'Kayla Allen', 'Ken Kirzinger', 'Dev Kennedy', 'Patti Tippo', 'Sabrinah Christie', 'Warren Sroka', 'Gene Williams', 'Leif Tilden', 'G.W. Bailey', 'Luke Benko', 'Binx', 'Joseph Granda', 'Joe Greene', 'Stacie Johnsen', 'Patrick Michael Strange']"|['Steve Oedekerk']
20|Money Train|1995|0|0|0|0|0|1|0|0|0|0|0|0|0|0|0|0|0|0|When a vengeful New York transit cop decides to steal a trainload of subway fares, his foster brother—a fellow cop—tries to protect him.|['Wesley Snipes', 'Woody Harrelson', 'Jennifer Lopez', 'Robert Blake', 'Chris Cooper', 'Katie Gill', 'Joe Grifasi', 'Scott Sowers', 'Skipp Sudduth', 'Aida Turturro', 'Vincent Pastore', 'Enrico Colantoni', 'Bill Nunn', 'Jeremy Roberts', 'Joe Bacino', 'Gregory McKinney', 'José Zúñiga', 'Flex Alexander', 'Sharon Schaffer', 'Catherine Dudley-Rose', 'Dean Norris', 'Greg Bronson']|['Joseph Ruben']
21|Get Shorty|1995|0|0|0|0|0|1|1|0|0|0|0|0|0|1|0|0|0|0|"Chili Palmer is a Miami mobster who gets sent by his boss, the psychopathic ""Bones"" Barboni, to collect a bad debt from Harry Zimm, a Hollywood producer who specializes in cheesy horror films. When Chili meets Harry's leading lady, the romantic sparks fly. After pitching his own life story as a movie idea, Chili learns that being a mobster and being a Hollywood producer really aren't all that different."|"['John Travolta', 'Gene Hackman', 'Rene Russo', 'Danny DeVito', 'Dennis Farina', 'Delroy Lindo', 'James Gandolfini', 'Jon Gries', 'Renee Props', 'David Paymer', 'Martin Ferrero', 'Miguel Sandoval', 'Jacob Vargas', 'Linda Hart', 'Bette Midler', 'Bobby Slayton', 'Ron Karabatsos', 'Alison Waddell', 'Amber Waddell', 'John Cothran', 'Jack Conley', 'Bernard Hocke', 'Big Daddy Wayne', 'Jay Montalvo', 'Carlease Burke', 'Vito Scotti', 'Rino Piccolo', 'Alfred Dennis', 'Ralph Manza', 'Zed Frizzelle', 'Harry Victor', 'Patrick Breen', 'Barry Sonnenfeld', 'Donna W. Scott', 'Rebeca Arthur', 'Zack Phifer', 'Greg Goossen', 'Jeffrey Stephan', ""Ernest 'Chili' Palmer"", 'Leslie Bega', 'Harvey Keitel', 'Penny Marshall', 'Alex Rocco']"|['Barry Sonnenfeld']
22|Copycat|1995|0|0|1|0|1|0|1|0|0|0|0|0|0|0|0|0|0|0|An agoraphobic psychologist and a female detective must work together to take down a serial killer who copies serial killers from the past.|"['Sigourney Weaver', 'Holly Hunter', 'Dermot Mulroney', 'William McNamara', 'Harry Connick Jr.', 'J.E. Freeman', 'Will Patton', 'John Rothman', ""Shannon O'Hurley"", 'Bob Greene', 'Tony Haney', 'Danny Kovacs', 'Tahmus Rounds', 'Scott Devenney', 'David Michael Silverman', 'Diane Amos', 'Kelly De Martino', 'Richard Conti', 'Nick Scoggin', 'Bert Kinyon', 'Dennis Richmond', 'Rob Nilsson', 'Kenny Kwong', 'Charles Branklyn', 'Rebecca Klingler', 'Terry Brown', 'Corie Henninger', 'Bill Bonham', 'Kathleen Stefano', 'Chris Beale', 'Hansford Prince', 'Don West', 'Jay Jacobus', 'John Charles Morris', 'Keith Phillips', 'Johnetta Shearer', 'Ron Kaell', 'Kelvin Han Yee', 'James Cunningham', 'Victor Talmadge', 'Brian Keith Russell', 'Damon Lawner', 'Russ Christoff', 'Doug Morrisson', 'Edith Bryson', 'Jeni Chua', 'William Oates', 'Lee Kopp', 'Thomas J. Fieweger', 'Floyd Gale Holland', 'Anthony Moore', 'Stephanie Smith', 'S. J. Spinali', 'Katherine Fitzhugh', 'Robert Benscoter', 'Arlon G. Greene', 'Stuart W. Yee', 'Vincenetta Gunn', 'David D. Ferguson', 'Eleva Singleton', 'Gena Bingham', 'Jon Briddell']"|['Jon Amiel']
